FID,id,The_geom,nome,tipo,data_inaug,status,endereco,bairro,cod_bairro,regional,territorio,orgao,inaugurado,fonte,epsg_codf,x,y,ano_ref
vw_Areninhas.fid--780b70dd_194f2cc3853_-232a,92,POINT (-38.53111806067586 -3.8419516537466123),Areninha Beira Rio,Areninha,2021-11-16,Concluído,Rua Alcides Gerardo com rua Sandra Pereira,Conjunto Palmeiras,118,SER 9,32,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,552058.9287,9575328.2481,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2329,93,POINT (-38.507578978429876 -3.883888612951922),Areninha Haroldo Abreu Serpa,Areninha,2021-11-22,Concluído,Rua Antônio Conrado s/n,Pedras,69,SER 9,33,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,554669.7997,9570691.1029,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2328,94,POINT (-38.47560542819774 -3.8450254996351507),Areninha Coaçu,Areninha,2021-11-29,Concluído,Rua São Jorge s/n,Coaçu,55,SER 6,30,GOV,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,558222.3282,9574984.8863,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2327,95,POINT (-38.5377502965058 -3.7495381965585857),Areninha Pedro Martins,Areninha,2022-02-21,Concluído,Avenida Eduardo Girão com rua Jorge Dumar,Benfica,7,SER 4,15,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,551328.0061,9585543.894,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2326,96,POINT (-38.53627860305043 -3.8138585425332185),Areninha jardim União,Areninha,2022-02-28,Concluído,Rua Menor Jerônimo com rua Dois de Maio,Passaré,88,SER 8,20,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,551487.6305,9578433.9339,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2325,97,POINT (-38.617049892981015 -3.773048455537511),Areninha José Carlos Evangelista de Sousa,Areninha,2022-03-17,Concluído,Rua 1096 com rua 1000,Conjunto Ceará II,75,SER 11,38,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,542521.3295,9582949.3811,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2324,98,POINT (-38.459956379599994 -3.803247739478718),Areninha Sapiranga,Areninha,sem informação,Concluído,Rua Francisca Bezerra com travessa Cecília Meireles,Sapiranga,64,SER 7,25,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,559962.76,9579601.9127,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2323,99,POINT (-38.52206877337095 -3.825882692135541),Areninha Santa Rita,Areninha,sem informação,Concluído,Rua Santa Rita com rua B e rua D,Barroso,51,SER 9,31,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,553064.6649,9577103.9363,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2322,100,POINT (-38.614710368029584 -3.811895683743175),Areninha Campo do Leite,Areninha,2022-03-08,Concluído,"Rua Nilton Montenegro, n. 278",Siqueira,107,SER 8,19,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,542779.1954,9578655.195,2022
vw_Areninhas.fid--780b70dd_194f2cc3853_-2321,101,POINT (-38.47023734400352 -3.8231032049292746),Areninha do São Miguel,Areninha,sem informação,Concluído,Rua Nenem Arruda com avenida Cajazeiras,Lagoa Redonda,63,SER 6,29,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,558819.8494,9577407.803,2022
vw_Areninhas.fid--780b70dd_194f2cc3853_-2320,102,POINT (-38.594495277132786 -3.7572347849219403),Areninha do Tocantins,Areninha,sem informação,Concluído,Rua Professor Vieira com Travessa Tocantins,Autran Nunes,41,SER 11,37,PMF,Aguardando,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545026.5616,9584696.2522,2022
vw_Areninhas.fid--780b70dd_194f2cc3853_-231f,103,POINT (-38.51052261627032 -3.8468202174289985),Areninha Santa Filomena,Areninha,2022-02-19,Concluído,"Rua Luciano Alves, esquina com rua Recanto das Flores",Jangurussu,61,SER 9,32,32,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,554345.34163576,9574788.80016055,2022
